text,label,is_augmented
do you have information about hip replacement,general,
what are the symptoms of l-2-hydroxyglutaric aciduria?,symptom,
what are the treatments for juvenile myelomonocytic leukemia?,treatment,
is hallermann-streiff syndrome inherited?,genetics,
what is (are) glioblastoma?,definition,
is myasthenia gravis inherited?,genetics,
what causes renal artery stenosis?,cause,
what research (or clinical trials) is being done for childhood central nervous system embryonal tumors?,general,
how many people are affected by hemorrhoids?,general,
what is (are) erb-duchenne and dejerine-klumpke palsies?,definition,
what are the symptoms of urinary retention?,symptom,
what are the symptoms of antley bixler syndrome?,symptom,
what are the genetic changes related to congenital hyperinsulinism?,genetics,
what are the treatments for traumatic brain injury?,treatment,
what are the symptoms of papillary renal cell carcinoma?,symptom,
what is (are) joint disorders?,definition,
what are the treatments for familial isolated pituitary adenoma?,treatment,
what are the symptoms of male breast cancer?,symptom,
what are the treatments for subacute sclerosing panencephalitis?,treatment,
what is (are) addison disease?,definition,
what are the symptoms of ulcerative colitis?,symptom,
do you have information about health screening,general,
what causes hereditary spherocytosis?,cause,
what are the symptoms of bartter syndrome antenatal type 1?,symptom,
what are the treatments for manitoba oculotrichoanal syndrome?,treatment,
how many people are affected by multiple familial trichoepithelioma?,general,
what are the genetic changes related to waardenburg syndrome?,genetics,
what are the treatments for microcystic adnexal carcinoma?,treatment,
what is (are) dent disease 1?,definition,
how many people are affected by larsen syndrome?,general,
what is (are) childhood acute myeloid leukemia and other myeloid malignancies?,definition,
what are the treatments for congenital dyserythropoietic anemia?,treatment,
what is (are) parasites - toxocariasis (also known as roundworm infection)?,definition,
what is the outlook for benign essential blepharospasm?,definition,
how many people are affected by familial restrictive cardiomyopathy?,general,
what are the symptoms of familial prostate cancer?,symptom,
how many people are affected by type a insulin resistance syndrome?,general,
what is (are) 8p11 myeloproliferative syndrome?,definition,
what are the treatments for cap myopathy?,treatment,
what is (are) postural orthostatic tachycardia syndrome?,definition,
what is (are) back pain?,definition,
what is (are) hereditary elliptocytosis?,definition,
what are the symptoms of noonan syndrome?,symptom,
is freeman-sheldon syndrome inherited?,genetics,
what are the treatments for ornithine transcarbamylase deficiency?,treatment,
is laryngomalacia inherited?,genetics,
what are the symptoms of charcot-marie-tooth disease type 2b2?,symptom,
what are the genetic changes related to glycogen storage disease type iv?,genetics,
what are the symptoms of orofaciodigital syndrome 2?,symptom,
how to diagnose erythromelalgia?,diagnosis,
what are the symptoms of adult hodgkin lymphoma?,symptom,
how to diagnose foodborne illnesses?,diagnosis,
what causes primary hyperparathyroidism?,cause,
what is (are) syncope?,definition,
what are the treatments for kennedy's disease?,treatment,
how to diagnose skin cancer?,diagnosis,
what causes medullary cystic kidney disease?,cause,
what are the symptoms of achalasia?,symptom,
what is (are) leishmaniasis?,definition,
what are the symptoms of mucopolysaccharidosis type i?,symptom,
is 3-beta-hydroxysteroid dehydrogenase deficiency inherited?,genetics,
what are the symptoms of spinocerebellar ataxia autosomal recessive 3?,symptom,
what are the treatments for hereditary pancreatitis?,treatment,
how to prevent peyronie's disease?,general,
is primary carnitine deficiency inherited?,genetics,
what are the treatments for von hippel-lindau disease (vhl)?,treatment,
how many people are affected by multiminicore disease?,general,
what are the symptoms of cone-rod dystrophy x-linked 2?,symptom,
what are the symptoms of leber congenital amaurosis 10?,symptom,
what are the symptoms of gerstmann-straussler-scheinker disease?,symptom,
what are the symptoms of facioscapulohumeral muscular dystrophy?,symptom,
what are the treatments for hydranencephaly?,treatment,
what is (are) post-traumatic stress disorder?,definition,
what is (are) konigsmark knox hussels syndrome?,definition,
what are the symptoms of hyper-igd syndrome?,symptom,
how many people are affected by perry syndrome?,general,
what are the symptoms of hallermann-streiff syndrome?,symptom,
what is (are) chronic pain?,definition,
what is (are) kidney dysplasia?,definition,
what are the symptoms of what i need to know about lactose intolerance?,symptom,
what to do for prostate enlargement: benign prostatic hyperplasia?,general,
what research (or clinical trials) is being done for normal pressure hydrocephalus?,general,
what are the symptoms of urine blockage in newborns?,symptom,
what is (are) multiple endocrine neoplasia?,definition,
what are the treatments for primary familial brain calcification?,treatment,
is epidermolytic ichthyosis inherited?,genetics,
is isodicentric chromosome 15 syndrome inherited?,genetics,
is branchiootorenal/branchiootic syndrome inherited?,genetics,
how many people are affected by cholesteryl ester storage disease?,general,
how to diagnose hereditary sensory neuropathy type 1?,diagnosis,
how many people are affected by crouzon syndrome?,general,
what are the treatments for sialidosis?,treatment,
what is (are) sinusitis?,definition,
what are the treatments for activated pi3k-delta syndrome?,treatment,
what are the symptoms of quinquaud's decalvans folliculitis?,symptom,
what are the genetic changes related to cowden syndrome?,genetics,
how many people are affected by peutz-jeghers syndrome?,general,
what are the treatments for ledderhose disease?,treatment,
what are the treatments for chronic atrial and intestinal dysrhythmia?,treatment,
what are the treatments for deep vein thrombosis?,treatment,
what are the symptoms of chronic lymphocytic leukemia?,symptom,
what are the symptoms of mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes?,symptom,
what is (are) spinal muscular atrophy with progressive myoclonic epilepsy?,definition,
what is (are) epidermal nevus?,definition,
what are the treatments for maple syrup urine disease?,treatment,
what are the genetic changes related to juvenile myoclonic epilepsy?,genetics,
who is at risk for bronchitis?,risk,
what is (are) mitochondrial genetic disorders?,genetics,
what is (are) gerstmann-straussler-scheinker disease?,definition,
what is (are) rasmussen's encephalitis?,definition,
what is (are) hyperprolinemia type 2?,definition,
what causes meesmann corneal dystrophy?,cause,
what are the symptoms of ataxia telangiectasia?,symptom,
what are the treatments for saddan?,treatment,
what causes peutz-jeghers syndrome?,cause,
is geleophysic dysplasia inherited?,genetics,
how to diagnose abdominal adhesions?,diagnosis,
what are the genetic changes related to costello syndrome?,genetics,
what are the treatments for milroy disease?,treatment,
how to diagnose branchiooculofacial syndrome?,diagnosis,
what is the outlook for friedreich's ataxia?,definition,
what is the outlook for dandy-walker syndrome?,definition,
what are the symptoms of spinocerebellar ataxia 21?,symptom,
who is at risk for nutrition for early chronic kidney disease in adults?,risk,
what are the genetic changes related to spinocerebellar ataxia type 1?,genetics,
how many people are affected by familial acute myeloid leukemia with mutated cebpa?,general,
what are the treatments for analgesic nephropathy (painkillers and the kidneys)?,treatment,
is niemann-pick disease inherited?,genetics,
how many people are affected by congenital neuronal ceroid lipofuscinosis?,general,
"what are the treatments for ohdo syndrome, maat-kievit-brunner type?",treatment,
what research (or clinical trials) is being done for transmissible spongiform encephalopathies?,general,
what is (are) myotonia congenita autosomal dominant?,definition,
what are the symptoms of popliteal pterygium syndrome?,symptom,
what is (are) tyrosinemia type 3?,definition,
what are the symptoms of acromegaly?,symptom,
how many people are affected by mcleod neuroacanthocytosis syndrome?,general,
is sick sinus syndrome inherited?,genetics,
what is the outlook for central pontine myelinolysis?,definition,
what are the treatments for atelosteogenesis type 3?,treatment,
what are the symptoms of radio renal syndrome?,symptom,
how many people are affected by friedreich ataxia?,general,
who is at risk for adult soft tissue sarcoma?,risk,
what is (are) osteopetrosis autosomal dominant type 2?,definition,
what causes turner syndrome?,cause,
what are the symptoms of oculoectodermal syndrome?,symptom,
what is (are) 5q14.3 microdeletion syndrome?,definition,
what is (are) monoclonal gammopathy of undetermined significance?,definition,
what are the symptoms of wolfram syndrome?,symptom,
what is (are) respiratory syncytial virus infections?,definition,
"what are the genetic changes related to congenital deafness with labyrinthine aplasia, microtia, and microdontia?",genetics,
who is at risk for thrombocytopenia?,risk,
who is at risk for omsk hemorrhagic fever (ohf)?,risk,
how to diagnose parasites - enterobiasis (also known as pinworm infection)?,diagnosis,
how many people are affected by knobloch syndrome?,general,
what are the stages of chronic myeloproliferative neoplasms?,definition,
is lesch nyhan syndrome inherited?,genetics,
what is the outlook for gerstmann's syndrome?,definition,
what are the symptoms of thyroid hormone plasma membrane transport defect?,symptom,
what is (are) transverse myelitis?,definition,
what are the treatments for hypophosphatasia?,treatment,
what causes idiopathic juxtafoveal retinal telangiectasia?,cause,
what is (are) wounds and injuries?,definition,
what are the symptoms of syringoma?,symptom,
what is (are) osteopetrosis autosomal recessive 7?,definition,
how to prevent parasites - african trypanosomiasis (also known as sleeping sickness)?,general,
is x-linked sideroblastic anemia inherited?,genetics,
what is (are) potassium-aggravated myotonia?,definition,
what are the symptoms of pigmented purpuric eruption?,symptom,
what is (are) unverricht-lundborg disease?,definition,
what are the symptoms of mucolipidosis type 4?,symptom,
what is (are) phacomatosis pigmentovascularis?,definition,
what is (are) tetra-amelia syndrome?,definition,
what is (are) congenital short femur?,definition,
"what are the symptoms of macular dystrophy, concentric annular?",symptom,
do you have information about medicare prescription drug coverage,general,
how to diagnose lynch syndrome?,diagnosis,
how many people are affected by schindler disease?,general,
what research (or clinical trials) is being done for canavan disease?,general,
what is (are) autoimmune addison disease?,definition,
what are the treatments for malignant eccrine spiradenoma?,treatment,
what are the treatments for pontocerebellar hypoplasia type 1?,treatment,
what causes benign schwannoma?,cause,
what are the treatments for rickets?,treatment,
what is (are) oropharyngeal cancer?,definition,
what are the treatments for microcephalic osteodysplastic primordial dwarfism type ii?,treatment,
is doyne honeycomb retinal dystrophy inherited?,genetics,
what are the symptoms of anemia of inflammation and chronic disease?,symptom,
what are the symptoms of chiari malformation type 1?,symptom,
what research (or clinical trials) is being done for lipoid proteinosis?,general,
what is (are) renal coloboma syndrome?,definition,
what are the genetic changes related to schindler disease?,genetics,
is dilated cardiomyopathy with ataxia syndrome inherited?,genetics,
what is (are) hypopharyngeal cancer?,definition,
what are the genetic changes related to vohwinkel syndrome?,genetics,
what is (are) family history?,definition,
what is the outlook for primary myelofibrosis?,definition,
is chiari malformation type 2 inherited?,genetics,
what is (are) weaver syndrome?,definition,
what are the symptoms of pulmonary embolism?,symptom,
what research (or clinical trials) is being done for gerstmann-straussler-scheinker disease?,general,
is facioscapulohumeral muscular dystrophy inherited?,genetics,
what causes isobutyryl-coa dehydrogenase deficiency?,cause,
is xeroderma pigmentosum inherited?,genetics,
what are the genetic changes related to fatty acid hydroxylase-associated neurodegeneration?,genetics,
what causes lynch syndrome?,cause,
how to diagnose copd?,diagnosis,
what are the treatments for cri-du-chat syndrome?,treatment,
is laing distal myopathy inherited?,genetics,
what are the genetic changes related to moyamoya disease?,genetics,
what are the symptoms of spastic paraplegia 6?,symptom,
what are the treatments for fecal incontinence?,treatment,
how many people are affected by autosomal dominant partial epilepsy with auditory features?,general,
what is (are) huntington disease?,definition,
what causes celiac disease?,cause,
what is (are) prescription and illicit drug abuse?,definition,
what are the symptoms of plasminogen activator inhibitor type 1 deficiency?,symptom,
what is (are) pleural disorders?,definition,
what causes bronchiolitis obliterans organizing pneumonia?,cause,
what is (are) meige disease?,definition,
"what are the symptoms of amelogenesis imperfecta, hypoplastic/hypomaturation, x-linked 2?",symptom,
what are the treatments for branchiootorenal syndrome?,treatment,
what is (are) cardiogenic shock?,definition,
what research (or clinical trials) is being done for holoprosencephaly?,general,
is hereditary fructose intolerance inherited?,genetics,
how to prevent vasculitis?,general,
what are the genetic changes related to c3 glomerulopathy?,genetics,
how many people are affected by auriculo-condylar syndrome?,general,
what are the genetic changes related to familial atrial fibrillation?,genetics,
what are the symptoms of hair defect with photosensitivity and mental retardation?,symptom,
